MessageType,Seconds,Nanoseconds,r,theta,color,Latitude,Longitude,Orientation.x,Orientation.y,Orientation.z,Orientation.w,LinearAccel.x,LinearAccel.y,LinearAccel.z,Steering,LeftFrontSpeed,LeftBackSpeed,RightFrontSpeed,RightBackSpeed
Imu,24,758000000,,,,,,-4.858563824647736e-08,2.883684502765515e-07,-4.474737873310032e-12,0.9999999999999571,0.0463566730047417,-0.178160469704921,9.808958583845545,,,,,
Imu,24,759000000,,,,,,0.0,0.0,0.0,1.0,-0.1608058784559403,-0.0064780466859739,9.804987801778736,,,,,
Imu,24,760000000,,,,,,-4.858563129194523e-08,2.883684444720328e-07,-4.474764645873929e-12,0.9999999999999571,0.0059511636658406,-0.0498158666755365,9.7475880398482,,,,,
Imu,24,761000000,,,,,,-4.8585608406495786e-08,2.883684526960029e-07,-4.420651628969954e-12,0.9999999999999571,0.0580859263601938,-0.0510050169028094,9.842519723507916,,,,,
WheelSpeeds,24,761000000,,,,,,,,,,,,,0.0,999.2113647460938,-1.0294392108917236,999.5830078125,-1.174129605293274
Imu,24,762000000,,,,,,0.0,0.0,0.0,1.0,-0.0809204488529808,-0.0779672517262306,9.737540338694195,,,,,
Imu,24,763000000,,,,,,-4.85856014803922e-08,2.8836844689021856e-07,-4.4206501643957076e-12,0.9999999999999571,0.1162727571447337,0.1727760895901843,9.757335710921662,,,,,
Imu,24,764000000,,,,,,0.0,0.0,0.0,1.0,0.034737967028011,-0.0579551663289724,9.87991511890066,,,,,
Imu,24,765000000,,,,,,-4.858559454062229e-08,2.88368441071491e-07,-4.420658565092544e-12,0.9999999999999571,0.0963638172172156,-0.1187906374865751,9.785320692291116,,,,,
Imu,24,766000000,,,,,,-4.858561048937293e-08,2.883684270542749e-07,-4.474697690546375e-12,0.9999999999999571,0.0905268367600449,0.0239031274342763,9.862149964247417,,,,,
WheelSpeeds,24,766000000,,,,,,,,,,,,,0.0,998.0890502929688,-0.9605293869972228,997.74658203125,-1.2666417360305786
Imu,24,767000000,,,,,,-4.858558759842043e-08,2.8836843527837216e-07,-4.420589077639428e-12,0.9999999999999571,0.0528590275472486,-0.0398153899553205,9.792147754344963,,,,,
Imu,24,768000000,,,,,,0.0,0.0,0.0,1.0,-0.0004121328731896,-0.0056918586534135,9.87024075356216,,,,,
Imu,24,769000000,,,,,,-4.858558066340208e-08,2.883684294723053e-07,-4.42067498706925e-12,0.9999999999999571,0.0878984311019537,0.1444414495246718,9.692587716409168,,,,,
Cones,24,770000000,13.38083504664366,0.2286067157048844,2.0,,,,,,,,,,,,,,
Cones,24,770000000,9.42416015684098,0.3353369046102203,2.0,,,,,,,,,,,,,,
Cones,24,770000000,6.675057481001313,0.422758906634763,2.0,,,,,,,,,,,,,,
Cones,24,770000000,2.197222255538219,1.4710003268713412,2.0,,,,,,,,,,,,,,
Cones,24,770000000,13.01863845301268,-0.1432027088191141,1.0,,,,,,,,,,,,,,
Cones,24,770000000,9.1823769241748,-0.1969850081150927,1.0,,,,,,,,,,,,,,
Cones,24,770000000,6.3680552460924735,-0.2901693999720799,1.0,,,,,,,,,,,,,,
Cones,24,770000000,2.79948933511924,-1.285091774864262,1.0,,,,,,,,,,,,,,
Cones,24,770000000,3.572560402980694,-0.5482514291411728,0.0,,,,,,,,,,,,,,
Cones,24,770000000,3.857312485811085,-0.5127320470668832,0.0,,,,,,,,,,,,,,
Cones,24,770000000,4.0079915888108575,0.7304541691002965,0.0,,,,,,,,,,,,,,
Cones,24,770000000,4.356657314082828,0.6678157970315964,0.0,,,,,,,,,,,,,,
Imu,24,770000000,,,,,,0.0,0.0,0.0,1.0,-0.042333305603833,0.0069783162988273,9.901531732587998,,,,,
Imu,24,771000000,,,,,,0.0,0.0,0.0,1.0,-0.0649985932451657,-0.0487084006344993,9.722241855304633,,,,,
WheelSpeeds,24,771000000,,,,,,,,,,,,,0.0,999.3345947265624,-0.7358352541923523,998.9713745117188,0.2186873108148574
Imu,24,772000000,,,,,,0.0,0.0,0.0,1.0,0.1503254664963446,-0.0827655237944531,9.88408858823235,,,,,
Imu,24,773000000,,,,,,0.0,0.0,0.0,1.0,0.0755240353550202,0.1565327900093928,9.753419345056288,,,,,
Imu,24,774000000,,,,,,-4.8585582730804113e-08,2.883684038702592e-07,-4.474734872611429e-12,0.9999999999999571,0.1137180232744116,0.0196182942123493,9.706215074869212,,,,,
Imu,24,775000000,,,,,,-4.8585559862832055e-08,2.883684120881727e-07,-4.420608510717571e-12,0.9999999999999571,0.0022015571058277,-0.1601561665254755,9.837087279254844,,,,,
Imu,24,776000000,,,,,,-4.85855758047456e-08,2.883683980663782e-07,-4.474733433111279e-12,0.9999999999999571,0.0180909067620264,0.0633079214943032,9.88895714537891,,,,,
WheelSpeeds,24,776000000,,,,,,,,,,,,,0.0,998.2911376953124,-0.1544888764619827,999.1550903320312,1.29332435131073
Imu,24,777000000,,,,,,-4.858555294055912e-08,2.8836840629645684e-07,-4.4206107421453495e-12,0.9999999999999571,0.0723240733607793,0.0627251078584458,9.84564719574041,,,,,
Imu,24,778000000,,,,,,-4.8585568874848534e-08,2.8836839228181826e-07,-4.474705371062085e-12,0.9999999999999571,-0.077894131193503,-0.0369324756793835,9.793247726699605,,,,,
Imu,24,779000000,,,,,,0.0,0.0,0.0,1.0,-0.1089252145796823,9.87314839634736e-05,9.86696116342091,,,,,
Imu,24,780000000,,,,,,-4.858556194699813e-08,2.883683864716072e-07,-4.474720059716695e-12,0.9999999999999571,0.0647699709366088,0.0356996884940537,9.766418276225156,,,,,
WheelSpeeds,24,781000000,,,,,,,,,,,,,0.0,997.4568481445312,0.8387385606765747,997.4761352539062,1.5798912048339844
Imu,24,782000000,,,,,,-4.858555503289569e-08,2.883683806860077e-07,-4.474728052346892e-12,0.9999999999999571,-0.064757708521781,-0.0678004191175552,9.756129629752486,,,,,
Imu,24,783000000,,,,,,-4.85855321405442e-08,2.883683889171318e-07,-4.420688196345784e-12,0.9999999999999571,-0.0302135598930092,-0.0831872844491985,9.90633396560853,,,,,
Imu,24,784000000,,,,,,-4.858554808728688e-08,2.8836837490053585e-07,-4.47476618776463e-12,0.9999999999999571,0.1191155879833083,0.0808216959953184,9.771604349846372,,,,,
Imu,24,785000000,,,,,,0.0,0.0,0.0,1.0,-0.0707018470795761,0.1123403711445886,9.75527287539234,,,,,
WheelSpeeds,24,786000000,,,,,,,,,,,,,0.0,999.29296875,-1.0297006368637085,1000.2981567382812,-0.1321079432964325
Imu,24,787000000,,,,,,0.0,0.0,0.0,1.0,-0.0978348548828767,-0.057105642757268,9.626367639495378,,,,,
Imu,24,788000000,,,,,,-4.858553421368816e-08,2.883683633210794e-07,-4.474689515719548e-12,0.9999999999999571,-0.0035363469864974,0.0015416728917281,9.742030578169532,,,,,
Imu,24,789000000,,,,,,-4.85855113171797e-08,2.883683715455777e-07,-4.420738583475605e-12,0.9999999999999571,0.0161401124917431,-0.0905404568469832,9.773297691400076,,,,,
Imu,24,790000000,,,,,,-4.8585527259371124e-08,2.883683575314789e-07,-4.47474201828367e-12,0.9999999999999571,0.0230422959436064,0.04872832382258,9.700985000684147,,,,,
WheelSpeeds,24,791000000,,,,,,,,,,,,,0.0,998.2933959960938,-0.6067851185798645,999.89990234375,0.2319975346326828
Imu,24,792000000,,,,,,-4.8585520330819e-08,2.883683517397039e-07,-4.474680008971896e-12,0.9999999999999571,0.0047470554689346,-0.0125719843923329,9.873941813818046,,,,,
Imu,24,793000000,,,,,,-4.8585497458124543e-08,2.883683599714241e-07,-4.420751543313394e-12,0.9999999999999571,-0.0996641361380164,0.0198983258312024,9.817582671846123,,,,,
Imu,24,794000000,,,,,,-4.858551339364442e-08,2.883683459497623e-07,-4.474730882944393e-12,0.9999999999999571,0.1407291136867709,0.022731346740702,9.891124240594406,,,,,
Imu,24,795000000,,,,,,-4.8585490509193934e-08,2.883683541746371e-07,-4.420600717286548e-12,0.9999999999999571,-0.1433815007975777,-0.0270104075358939,9.925295036444025,,,,,
Imu,24,796000000,,,,,,-4.858550643964553e-08,2.883683401468001e-07,-4.474779826879039e-12,0.9999999999999571,0.0194154173932311,0.0338872537337988,9.898422922019908,,,,,
WheelSpeeds,24,796000000,,,,,,,,,,,,,0.0,998.413330078125,-0.0566863641142845,997.1676025390624,-0.1601333022117614
Imu,24,797000000,,,,,,-4.858548356959744e-08,2.883683483775166e-07,-4.420708854441059e-12,0.9999999999999571,0.0437267568598932,-0.1095252858145296,9.791723493135052,,,,,
Imu,24,798000000,,,,,,-4.858549949020553e-08,2.883683343485291e-07,-4.47490584973157e-12,0.9999999999999571,-0.0431869838454789,-0.1219683770067613,9.63357502056155,,,,,
Imu,24,799000000,,,,,,-4.85854765991522e-08,2.883683425797828e-07,-4.420788200430252e-12,0.9999999999999571,0.0700050181318148,-0.0603063093654662,9.801639867635185,,,,,
GPS,24,800000000,,,,55.94448483975946,-3.1864739638270696,,,,,,,,,,,,
Imu,24,800000000,,,,,,0.0,0.0,0.0,1.0,0.0025849069385884,-0.1111655310184686,9.781435553607569,,,,,
Imu,24,801000000,,,,,,-4.858546963662095e-08,2.8836833678968525e-07,-4.420751585248312e-12,0.9999999999999571,0.0055583122535984,0.0966704757513271,9.877177217697396,,,,,
WheelSpeeds,24,801000000,,,,,,,,,,,,,0.0,998.9927978515624,-0.4284207224845886,998.8012084960938,1.0716508626937866
Imu,24,802000000,,,,,,-4.8585485564445055e-08,2.883683227859903e-07,-4.474768159419456e-12,0.9999999999999571,-0.0884318503643327,0.0271398368150229,9.858762657255957,,,,,
Imu,24,803000000,,,,,,-4.8585462684529984e-08,2.883683310169449e-07,-4.420635744987981e-12,0.9999999999999571,-0.1425545710631223,0.068045623026665,9.75994754047218,,,,,
Imu,24,804000000,,,,,,-4.858547860144735e-08,2.883683170018589e-07,-4.4748238695246665e-12,0.9999999999999571,0.115015143030993,-0.0212114706532811,9.888767374848772,,,,,
Imu,24,805000000,,,,,,-4.8585455717152096e-08,2.883683252328496e-07,-4.420747424092812e-12,0.9999999999999571,-0.0159615000326013,0.0002958414070358,9.737221785439358,,,,,
Imu,24,806000000,,,,,,-4.8585471653035935e-08,2.883683112170812e-07,-4.474769097037607e-12,0.9999999999999571,0.0232094727978154,0.02633445790876,9.723114926029266,,,,,
WheelSpeeds,24,806000000,,,,,,,,,,,,,0.0,999.8423461914062,-0.7339874505996704,1001.0514526367188,0.008922554552555
Imu,24,808000000,,,,,,0.0,0.0,0.0,1.0,0.0564219583930638,0.1398725471268025,9.756137432091672,,,,,
Imu,24,809000000,,,,,,-4.8585441803153285e-08,2.883683136650975e-07,-4.420687241441819e-12,0.9999999999999571,-0.0285877303570849,-0.0742007859743223,9.867035053230342,,,,,
Cones,24,810000000,13.378708610071318,0.2278039559406461,2.0,,,,,,,,,,,,,,
Cones,24,810000000,9.444927004954453,0.3351375007604896,2.0,,,,,,,,,,,,,,
Cones,24,810000000,6.669219280479887,0.434385005641772,2.0,,,,,,,,,,,,,,
Cones,24,810000000,2.172166137907535,1.4783616838236198,2.0,,,,,,,,,,,,,,
Cones,24,810000000,12.906898777781704,-0.1514007626939069,1.0,,,,,,,,,,,,,,
Cones,24,810000000,9.096779232923025,-0.2018808155714754,1.0,,,,,,,,,,,,,,
Cones,24,810000000,6.351940655335867,-0.2928913666449462,1.0,,,,,,,,,,,,,,
Cones,24,810000000,2.7963238097070056,-1.2773378266887088,1.0,,,,,,,,,,,,,,
